name;type;lat;lng;visibility;wgs84;amsl_ft;agl_ft;state;prec_hz;prec_vt;boundary;creation_date;verification_date;validity_date;data_provider;quality_factor;city
E0209-6;Eolienne;49.770364;3.483442;JOUR ET NUIT;OUI;784.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Villers-le-Sec
E0209-7;Eolienne;49.767556;3.484517;JOUR ET NUIT;OUI;794.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Villers-le-Sec
E0209-8;Eolienne;49.765025;3.485428;JOUR ET NUIT;OUI;751.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Villers-le-Sec
E0210-1;Eolienne;49.901823;3.514639;JOUR ET NUIT;OUI;883.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-2;Eolienne;49.901134;3.519334;JOUR ET NUIT;OUI;900.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-3;Eolienne;49.900337;3.524659;JOUR ET NUIT;OUI;910.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-4;Eolienne;49.899564;3.529953;JOUR ET NUIT;OUI;929.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-5;Eolienne;49.898589;3.536612;JOUR ET NUIT;OUI;956.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-6;Eolienne;49.894081;3.53732;JOUR ET NUIT;OUI;965.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-7;Eolienne;49.892448;3.531778;JOUR ET NUIT;OUI;956.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-8;Eolienne;49.890625;3.525648;JOUR ET NUIT;OUI;959.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-9;Eolienne;49.889228;3.521025;JOUR ET NUIT;OUI;972.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-10;Eolienne;49.887662;3.515559;JOUR ET NUIT;OUI;923.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hauteville
E0210-11;Eolienne;49.886075;3.510173;JOUR ET NUIT;OUI;906.0;493;VERIFIE;conforme ;inconnu;90;09/10/2017;20/08/2018;20/08/2023;DIRCAM/DIA;8;Hauteville
E0210-12;Eolienne;49.893131;3.500212;JOUR ET NUIT;OUI;916.0;493;VERIFIE;conforme ;inconnu;117;09/10/2017;20/08/2018;20/08/2023;DIRCAM/DIA;6;Bernot
E0210-13;Eolienne;49.892837;3.507842;JOUR ET NUIT;OUI;926.0;493;VERIFIE;conforme ;inconnu;117;09/10/2017;20/08/2018;20/08/2023;DIRCAM/DIA;6;Hauteville
